proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc02g068280.2.1	0	4118400	5657900	1861000	1780900	1435200	1980000	1759100	1138300	1019400	580430	829390
Solyc02g068480.2.1	31648000	45655000	82459000	42949000	22361000	27990000	45080000	64194000	38020000	26143000	24462000	35805000
Solyc02g068690.2.1	6130400	1432400	1573500	3184200	1790600	2658500	2034800	1913500	2405700	2644700	2538400	2253800
Solyc02g068700.2.1	0	0	0	0	0	0	0	0	0	0	924020	0
Solyc02g069340.2.1	28132000	20976000	21895000	49229000	28863000	16405000	48303000	45872000	24692000	11441000	7880800	23345000
Solyc02g069940.2.1	4627700	5308300	5718000	9930400	7083300	8731800	3731500	6260300	7962400	3357300	2671100	3280000
Solyc02g070090.1.1	0	0	0	0	0	0	0	0	0	0	1142300	0
Solyc02g070710.1.1	0	0	0	0	0	0	0	0	13321000	0	0	0
Solyc02g070800.2.1	0	0	1631200	0	0	0	0	0	0	0	0	0
Solyc02g071030.1.1	245920000	331820000	446790000	4.24e+08	1065700000	4.17e+09	762160000	419210000	404060000	1126500000	2.09e+09	1810200000
Solyc02g070980.1.1	0	0	0	0	0	460870	0	0	0	0	0	0
Solyc02g071000.1.1	0	0	0	0	0	0	0	0	32206000	0	0	0
Solyc02g071610.2.1	0	0	0	0	0	0	0	443930	0	0	0	0
Solyc02g071620.2.1	1372600	1965800	2124900	2564900	2995000	2028100	1259900	1168600	3230200	6557600	10447000	7823600
Solyc02g071710.2.1	2132800	4153200	7815300	5780800	6265100	6732000	2518100	6182100	8269700	3469800	5382700	8710800
Solyc02g071820.2.1	0	0	0	0	0	0	0	0	0	1184600	0	839680
Solyc02g071890.2.1	0	0	0	0	0	0	0	0	0	1171200	2216500	1051100
Solyc02g072130.2.1	11706000	8442700	13160000	9170900	7661500	12225000	9373400	8267600	1.1e+07	35455000	60069000	26645000
Solyc02g072260.2.1	44916000	30583000	34129000	20512000	24062000	60721000	26558000	26606000	40594000	28507000	18371000	24387000
Solyc02g077020.2.1	0	0	1180400	0	0	0	0	0	0	0	0	0
Solyc02g077080.2.1	0	0	0	0	0	0	0	0	0	3084700	1713800	2677400
Solyc02g077290.1.1	0	0	0	0	0	0	0	0	0	4353700	1740000	1305600
Solyc02g077300.1.1	3916100	3548100	6113500	6969500	5371600	3454700	2774700	4896700	3254500	2501500	0	2421500
Solyc02g077990.2.1	17607000	31813000	11641000	17219000	17991000	25066000	33471000	12548000	15884000	45520000	112990000	23167000
Solyc02g078040.2.1	22594000	39232000	42307000	46314000	62915000	48076000	40389000	38191000	44943000	23481000	17997000	42886000
Solyc02g078850.1.1	0	0	0	0	262010	0	0	0	0	0	0	0
Solyc02g079170.2.1	0	0	0	0	0	0	0	0	0	1220100	5155400	1161500
Solyc02g079220.2.1	0	0	654870	0	0	0	0	0	763780	3870100	5940200	1658100
Solyc02g079950.2.1	10401000	12257000	5444600	45827000	76623000	11463000	9088400	9841300	8039400	325240000	979910000	256350000
Solyc02g080210.2.1	131200000	68511000	102460000	81999000	44725000	113840000	104320000	134690000	60980000	18485000	27190000	40839000
Solyc02g080220.2.1	6759600	3992800	7747000	6818600	3547200	15689000	6164100	4761400	4379600	5733200	5498000	9030800
Solyc02g080540.1.1	14161000	22471000	18294000	42309000	46603000	56559000	20784000	29566000	25502000	326540000	1013100000	178730000
Solyc02g080670.2.1	34270000	111240000	158330000	77047000	137680000	136540000	72045000	138840000	166450000	25819000	23827000	41545000
Solyc02g080810.2.1	5796000	6751600	4289800	8608900	30962000	4398700	11064000	7529100	5597500	62169000	198150000	49737000
Solyc02g081170.2.1	0	0	0	0	0	0	0	0	0	0	2970200	0
Solyc02g081430.2.1	0	0	0	0	0	563510	0	0	0	550420	1841600	647100
Solyc02g081980.2.1	52832000	22375000	34491000	29647000	33189000	26702000	31465000	26470000	26347000	46485000	39334000	50055000
Solyc02g082030.2.1	0	0	0	0	0	0	0	217090	0	0	0	0
Solyc02g082080.1.1	0	0	0	0	0	0	1761500	0	0	0	0	0
Solyc02g082200.2.1	492860	365330	0	0	512190	0	490310	385010	546550	807190	8425600	0
Solyc02g082220.2.1	1278800	7224600	2296900	1851700	5720400	1114200	2075100	4786300	3393800	29282000	38327000	8883200
Solyc02g082450.2.1	0	0	0	0	0	0	0	0	0	1121700	5906200	723650
Solyc02g082830.1.1	0	0	0	0	0	0	0	0	0	0	2259400	0
Solyc02g082930.2.1	0	0	0	0	0	2339700	0	0	0	0	0	0
Solyc02g083410.2.1	0	0	0	0	0	0	0	0	0	489230	1772800	345420
Solyc02g083510.2.1	0	0	0	0	0	0	0	0	0	0	3374500	0
Solyc02g083620.2.1	0	847940	0	0	0	0	0	0	0	0	0	0
Solyc02g083810.2.1	47542000	183010000	133900000	80257000	105250000	68680000	91628000	229120000	159980000	189510000	718260000	157840000
Solyc10g054590.1.1	0	9384800	6334300	0	0	0	15555000	7481700	0	36321000	23083000	19634000
Solyc02g084440.2.1	11338000	9885900	7973900	77378000	132170000	19479000	22498000	8188800	9601400	349220000	1188400000	227840000
Solyc02g085350.2.1	0	0	0	0	977550	0	0	0	0	1382100	8301000	0
Solyc02g085950.2.1	0	0	0	460290	492690	0	0	0	0	18614000	25423000	0
Solyc02g086160.2.1	0	1050000	0	0	1184200	0	1200200	1202500	0	1791800	10211000	1440700
